context,from,to,weight
dry-january-2018,ryanelliott1701,SeedlipDrinks,1
national-dyslexia-week-2018,tiassl,LibraryatEA,2
mnd-awareness-month-2018,plymouthchaz,MNDeventsPlym,2
no-smoking-day-2018,praills,myvisionmatters,2
jeans-for-genes-day,babyearshs,JeansforGenes,1
cervical-cancer-prevention-week-2018,btrfly12,MayoCancerCare,2
ocd-awareness-week-2018,rexwheelie,lwbean,2
national-dyslexia-week-2018,rashbrj,NHSE_Diversity,1
jeans-for-genes-day,stilesjarry1d,MrsAnneTwist,2
jeans-for-genes-day,sucksniallers,MrsAnneTwist,2
ovarian-cancer-awareness-month-2018,emmabakeritv,FelicityBarrTV,2
dementia-action-week-2018,southendfun,Lozzierain,1
elf-day,alzsoceanglia,alzheimerssoc,1
ovarian-cancer-awareness-month-2018,naomilynch,FelicityBarrTV,2
time-to-talk-day-2018,marygriffin28,The_UnSilent_,2
rare-disease-day-2018,theibta,gliomaregistry,2
dementia-action-week-2018,tommytommytee18,PublicHealthW,1
rare-disease-day-2018,tom_j_giordano,umichmedicine,2
mnd-awareness-month-2018,jaxkaines,BAdvertiser,2
national-dementia-carers-2018,orleanshg,CCranidge,2
time-to-talk-day-2018,jangriff57,2020Comms,2
national-dyslexia-week-2018,krayker,UserZoom,2
eating-disorder-awareness-week-2018,kittycormack,OUPPsychology,2
elf-day,bessiehodgy,alzheimerssoc,1
16-days-of-action-2018,jennyejlak,genderequityvic,2
eating-disorder-awareness-week-2018,alexcarlingtts,HopeVirgo,1
national-dyslexia-week-2018,gabriellee18,MadeByDyslexia,2
elf-day,arundhati222,nickjonas,1
national-dementia-carers-2018,hywelddachc,CareQualityComm,2
brain-injury-week-2018,zoeepix,RingroseLaw,2
epilepsy-awareness-purple-day-2018,christinebsw,Epilepsy_Durham,1
brain-injury-week-2018,nwfollowers,ThorntonSciPark,2
ovarian-cancer-awareness-month-2018,mike_3116,NHSEngland,2
brain-injury-week-2018,rachjm3,HeadwayCardiff,1
eating-disorder-awareness-week-2018,sassvh,jaq421,2
ovarian-cancer-awareness-month-2018,cjnaples6606,houseofhenry,2
16-days-of-action-2018,fatherbob,dvrcv,2
national-dementia-carers-2018,motherfantaskis,QueensTheatreH,2
elf-day,bouncytits1,luiginked,1
time-to-talk-day-2018,amycotter99,ZoeSugg,1
16-days-of-action-2018,rosiemilner1,DogsTrust,2
time-to-talk-day-2018,jeannebatchelde,2020Comms,2
eating-disorder-awareness-week-2018,gemmyred,YoungMindsUK,2
ovarian-cancer-awareness-month-2018,sabinejessen,OvarianCancerUK,2
no-smoking-day-2018,pharmacyfirst,PharmacyFirst,1
time-to-talk-day-2018,jessroyle90,HiddenTheatreCo,1
mental-health-awareness-week-2018,nee_ceey,AsEqualsAfrica,2
dementia-action-week-2018,dementia_ni,Dementia_NI,1
ocd-awareness-week-2018,sebahazem_,lwbean,2
cervical-cancer-prevention-week-2018,emmalouise1_xxx,eveappeal,2
rare-disease-day-2018,_usa_impact,bannerite,2
epilepsy-awareness-purple-day-2018,maca_bejarano10,JennieJacques1,1
jeans-for-genes-day,sandrarmer1,JeansforGenes,1
national-dementia-carers-2018,annenolan2,alzheimerssoc,2
ocd-awareness-week-2018,kindagirlonloop,lwbean,2
wear-purple-for-jia-2018,misscrazynhs,Ed_Miliband,2
epilepsy-awareness-purple-day-2018,mcauliffees,Space_Station,1
cervical-cancer-prevention-week-2018,canisgallicus,dublinwellwoman,2
stress-awareness-day,cdavidge,CoastlneConsult,2
brain-injury-week-2018,tanith_jones,Nicolejamesjul,2
time-to-talk-day-2018,alebloody_sky,TheJackSexsmith,1
dry-january-2018,bigdc76,ChocTradingCo,2
wear-purple-for-jia-2018,jia_matters,BCRD_Study,1
brain-injury-week-2018,tanith_jones,laura_barls,1
elf-day,willott333,Boston_SWA,2
16-days-of-action-2018,project9phoenix,WFP,2
time-to-talk-day-2018,chattydog_,chattydog_,2
mnd-awareness-month-2018,petersutton81,DrNikSharma,1
brain-injury-week-2018,germantwitchrt,Heyu2all,2
stress-awareness-day,maj_catastrophe,CWatkinsWDSU,1
no-smoking-day-2018,smarttoothpicks,smarttoothpicks,1
eating-disorder-awareness-week-2018,hollyhardyy_,PennyRed,2
jeans-for-genes-day,mahnazhashmi,JeansforGenes,1
elf-day,brewbearuk,peterkay_co_uk,1
eating-disorder-awareness-week-2018,aneartohearhlb,AlexCarlingTTS,2
mental-health-awareness-week-2018,smilescohan,SophieT,2
brain-awareness-week-2018,roswitamind,ELSneuroscience,2
rare-disease-day-2018,key_karols_mom,RareDiseases,2
jeans-for-genes-day,sasafofa5,MrsAnneTwist,4
elf-day,alzsocemidlands,standardboston,1
national-dementia-carers-2018,luvselefantes,EmmaB1,1
experience-of-care-week-2018,uihealth,uicfmr,2
nutrition-and-hydration-week-2018,jennidomandoman,JennidomanDoman,1
eating-disorder-awareness-week-2018,jameslaja1,EDandPregnancy,1
time-to-talk-day-2018,rj_phoenix16,2020Comms,2
brain-awareness-week-2018,lauraignez,neuroscience,2
cervical-cancer-prevention-week-2018,lopezgovlaw,ACS_California,2
brain-injury-week-2018,hatchbrenner,NorfolkWHeadway,2
rare-disease-day-2018,joan_isaacs,rarediseasefdn,1
national-dyslexia-week-2018,maurawork,StPaulsHub,2
stress-awareness-day,baznut,MikeStuchbery_,2
dementia-action-week-2018,jayniebroughton,RamsdensCoP,1
mens-health-week-2018,kltaustin,SedgwickCounty,2
16-days-of-action-2018,2006_aicha,2MInteractive,2
ocd-awareness-week-2018,max_mullen,lwbean,2
nutrition-and-hydration-week-2018,jo_williams80,CwmTafDietetics,2
mnd-awareness-month-2018,mndassoc,Helping_HandsUK,2
rare-disease-day-2018,hampson_katie,ThumbiMwangi,2
mens-health-week-2018,coolmentoring,Top_Blokes,2
16-days-of-action-2018,unwomenaust,phumzileunwomen,2
brain-awareness-week-2018,rsofpharmacy,BrainBee_UK,1
nutrition-and-hydration-week-2018,marialeveridge,jo_williams80,1
brain-awareness-week-2018,gene_hobbs,UNC_SOM,2
national-dyslexia-week-2018,claresealy,thinkpix_suze,2
dry-january-2018,pretenna,SeedlipDrinks,1
ocd-awareness-week-2018,robonavi,lwbean,2
jeans-for-genes-day,justmishelie,JeansforGenes,2
dry-january-2018,ciarangearoid,UlsterBankRugby,1
no-smoking-day-2018,daws_london,KICK_IT_NOW,1
dementia-action-week-2018,otbcnmtd,TNorwich1,2
rare-disease-day-2018,ene3112,ChelseaClinton,2
stress-awareness-day,faithandpolice,mentalhealth,2
mens-health-week-2018,skincaretrend,CDC_Cancer,2
dementia-action-week-2018,brazlaw,RoydsWithyKing,2
ocd-awareness-week-2018,milliemixxxx,AnneMarie,1
stress-awareness-day,derzul,DogsTrust,2
wear-purple-for-jia-2018,khp_oc94,Ed_Miliband,2
jeans-for-genes-day,laetitia_f_,JeansforGenes,1
wear-purple-for-jia-2018,jia_nras,Ed_Miliband,1
jeans-for-genes-day,drsantiagoortiz,MollyWattTalks,1
time-to-talk-day-2018,musical_ih,macmillancancer,1
experience-of-care-week-2018,vdrk74,uicfmr,2
mnd-awareness-month-2018,cris_hoskin,mndassoc,1
carers-week-2018,annabaylisa,BrahmaKumarisUK,2
dry-january-2018,mummy2arockstar,ChocTradingCo,2
national-dyslexia-week-2018,codereadnetwork,BarringtonStoke,2
mnd-awareness-month-2018,edgeywoo,mndassoc,1
time-to-talk-day-2018,stevie_g_95,theresa_may,2
16-days-of-action-2018,topisue56,DogsTrust,2
jeans-for-genes-day,lilpeachlwt,JeansforGenes,1
ovarian-cancer-awareness-month-2018,juliemarionmac,FelicityBarrTV,2
elf-day,hwwilts,AWPNHS,2
brain-awareness-week-2018,healthtechhtc,CKNW,1
no-smoking-day-2018,hqsofla,FDATobacco,2
stress-awareness-day,ilovehats,guardian,2
16-days-of-action-2018,sthephora,WRInitiative,2
jeans-for-genes-day,areli_cisnerosh,JeansforGenes,1
carers-week-2018,carer49,ja54kki,2
ocd-awareness-week-2018,jinxxjams,lwbean,2
16-days-of-action-2018,diophenriette,Doyna_sn,2
eating-disorder-awareness-week-2018,allisonpiper2,HelpFaithHeal,1
mens-health-week-2018,mikeroussell,mikeroussell,1
brain-awareness-week-2018,maradierssen,LuminousEU,2
no-smoking-day-2018,bsolphmstudent,PHE_uk,1
ocd-awareness-week-2018,sotiroullaleon,IOCDF,5
epilepsy-awareness-purple-day-2018,ebyzio,MentorSkywalker,1
carers-week-2018,wxmchmvc,HarrowMVC,2
national-dyslexia-week-2018,yinka2000,Jisc,2
national-dementia-carers-2018,shawchristyanne,alzheimerssoc,2
elf-day,mehgnamathur,priyankachopra,1
carers-week-2018,huw4ogmore,wgdep_health,1
dry-january-2018,clem_c,MoralFibres,2
national-dyslexia-week-2018,infapl74qjukpuh,CityUniHealth,1
ovarian-cancer-awareness-month-2018,bridgittelesley,Nightowlmama,2
time-to-talk-day-2018,eliciamoon,Water_Rats,1
dementia-action-week-2018,nuclearpolice,nuclearpolice,1
ocd-awareness-week-2018,synystagaming,lwbean,2
mnd-awareness-month-2018,mnd_rwb,Vicky_100K4MNDA,2
rare-disease-day-2018,cfaware,strawfie,1
ocd-awareness-week-2018,techniic0l0r,lwbean,2
national-dementia-carers-2018,anxietytracker,alzheimerssoc,2
no-smoking-day-2018,rachael_stray,Rachael_Stray,2
jeans-for-genes-day,krakowiakanita,MrsAnneTwist,2
rare-disease-day-2018,marckydi,WishlistPJ,2
time-to-talk-day-2018,acarole,The_UnSilent_,2
stress-awareness-day,dominicbell15,EnglandGolf,2
experience-of-care-week-2018,chandachacon,PattiMartinLR,2
brain-awareness-week-2018,lovepeacefitnes,LundbeckUS,2
cervical-cancer-prevention-week-2018,huntsmancancer,JennMorales_CHE,2
mnd-awareness-month-2018,shark_1234,chelseadee6,1
mnd-awareness-month-2018,otbarbs,NickGoldup1,2
16-days-of-action-2018,thebrodieboy,ScottishSPCA,2
stress-awareness-day,mariatkeady,DubberTrevor,2
nutrition-and-hydration-week-2018,ignasiagell,JodyDennisOT,1
dementia-action-week-2018,paulfox109,nuclearpolice,1
dry-january-2018,peter_pne,kategarraway,2
national-dyslexia-week-2018,,SynFutures,2
nutrition-and-hydration-week-2018,mynameisandyj,Scurran88,2
16-days-of-action-2018,jmmuriu,UN_Women,2
national-dyslexia-week-2018,yinka2000,alistairm,1
rare-disease-day-2018,tamiarnold1,AlabamaRare,2
wear-purple-for-jia-2018,the_evil_barbie,ArthritisRUK,1
time-to-talk-day-2018,jobakerxo,Meandmymhmatter,1
national-dementia-carers-2018,debswil66,CareQualityComm,2
brain-awareness-week-2018,shamba_lin,LarsLarsonShow,1
carers-week-2018,daverossd,bmj_latest,1
16-days-of-action-2018,jamiemaik,UKLabour,2
national-dementia-carers-2018,kags6811,alzheimerssoc,2
brain-awareness-week-2018,yellowpadawan,HydroAssoc,4
elf-day,beliver58558797,PCsDRAG0N,2
16-days-of-action-2018,,nnedv,2
rare-disease-day-2018,celestialprollc,VABVOX,2
jeans-for-genes-day,taofeekuthman,amberjade310,2
dementia-action-week-2018,otbcnmtd,TPSPeople,1
experience-of-care-week-2018,drumeshprabhu,jasonawolf,1
carers-week-2018,quirkykakes,c_oreilly,2
eating-disorder-awareness-week-2018,lilgiraff_e,therapypugalfie,2
ovarian-cancer-awareness-month-2018,luannejorewicz,bcmhouston,1
dementia-action-week-2018,facefrontuk,MagicMeArts,2
national-dyslexia-week-2018,mlthirlaway,thinkpix_suze,2
rare-disease-day-2018,ruth61721355,RVAwonk,2
wear-purple-for-jia-2018,elenanikiuk,AilsaBosworth1,2
brain-awareness-week-2018,danbumbarger,PacSci,1
carers-week-2018,lucyjaneyoung,ja54kki,2
mental-health-awareness-week-2018,jidub18,RevivalRecs,1
rare-disease-day-2018,trumpmypres,TrumpMyPres,2
wear-purple-for-jia-2018,katie_druce,CapsieNair,2
mens-health-week-2018,lametayzia,sachind1231,2
national-dyslexia-week-2018,tjamesness,GoLexia,2
16-days-of-action-2018,racheleaoni,safelives_,2
mental-health-awareness-week-2018,kami_villarreal,LiverpoolFeds,2
elf-day,alzsocswengland,alzheimerssoc,1
jeans-for-genes-day,paynexwang,MrsAnneTwist,2
mnd-awareness-month-2018,davidball1978,QSPrivateHealth,2
dementia-action-week-2018,charlie20158,SilverSanteEU,2
rare-disease-day-2018,cupofnoody,22qFamily,1
rare-disease-day-2018,heidigritt,MollyCG12,1
time-to-talk-day-2018,eliciamoon,FULLCIRCLE_play,1
ocd-awareness-week-2018,literallypr,LynnCrilly,1
brain-injury-week-2018,danielbrien_,NWABIManchester,2
national-dyslexia-week-2018,lou_signs,HellionHarvey,2
rare-disease-day-2018,martarayolunar,Asphalion,2
time-to-talk-day-2018,faithngd,TEWV,2
ovarian-cancer-awareness-month-2018,geneticsotago,otago,1
national-dementia-carers-2018,blinkbacknow,alzheimerssoc,2
mental-health-awareness-week-2018,jordankelly10,ScotlandSky,2
cervical-cancer-prevention-week-2018,mark_linehan,EnableLaw,2
16-days-of-action-2018,newhopepublish,UN_Women,2
national-dementia-carers-2018,pelhamhouse123,alzheimerssoc,4
epilepsy-awareness-purple-day-2018,cfaprogmex,Giovanni93rock,2
ocd-awareness-week-2018,mytippytoe,lwbean,2
wear-purple-for-jia-2018,jpaulg,Ed_Miliband,2
wear-purple-for-jia-2018,themiliverse,Ed_Miliband,2
mens-health-week-2018,coolmentoring,AntonJGunn,1
cervical-cancer-prevention-week-2018,lindahalsey2,StopHPVCancer,1
cervical-cancer-prevention-week-2018,annmh84,med_indonews,2
16-days-of-action-2018,everydayprevent,NOTAevents,1
stress-awareness-day,emlouise1314,Edu_Broker,2
wear-purple-for-jia-2018,cuninghamlynn,harryt68,2
national-dyslexia-week-2018,nyreescott,alistairm,1
16-days-of-action-2018,,womensaidabcln,1
brain-awareness-week-2018,consermovement,USCongress,1
mental-health-awareness-week-2018,whereyoubeenso,nolotusblossom,1
national-dyslexia-week-2018,arkelldyslexia,BarringtonStoke,2
dementia-action-week-2018,sinisterkid16,CWAMusselburgh,2
mens-health-week-2018,coolmentoring,TaylorMade_NZ,2
national-dyslexia-week-2018,mrsamk73,thinkpix_suze,2
ocd-awareness-week-2018,shanleychien,bcmhouston,1
elf-day,alzsocnwengland,AlzSocNWEngland,1
ocd-awareness-week-2018,the_queercousin,lwbean,2
rare-disease-day-2018,lasehrman,GOSHCharity,1
ocd-awareness-week-2018,octaaaviaaaa,lwbean,2
national-dyslexia-week-2018,mjmblanton,TheLifeDyslexic,2
dry-january-2018,loubyloux584,SeedlipDrinks,1
cervical-cancer-prevention-week-2018,eileens_back,AntonellaUncens,2
mnd-awareness-month-2018,vabrownmnd,MNDAEastSussex,2
elf-day,alzsoceanglia,KingsleyHomes,1
brain-injury-week-2018,lblawcop,Headwayshrop,3
jeans-for-genes-day,dammit_hoppus,MrsAnneTwist,2
jeans-for-genes-day,amandamilb5,Winkfieldsm,2
no-smoking-day-2018,angeladynes17,NRCCollege,2
epilepsy-awareness-purple-day-2018,epilepsyswo,TELUS_Spark,2
ovarian-cancer-awareness-month-2018,mysweetzepol,TESAROBIO,1
experience-of-care-week-2018,dommaskey,HilaryFrayne,2
elf-day,priyankaaddicts,PCsDRAG0N,2
dementia-action-week-2018,jazannearts,Arts4Dementia,1
mnd-awareness-month-2018,kingste29344921,Vicky_100K4MNDA,2
mens-health-week-2018,coolmentoring,LindaHobden,1
dementia-action-week-2018,whoseshoes,talkolderpeople,1
ovarian-cancer-awareness-month-2018,kingallsauthor,TESAROBIO,6
national-dyslexia-week-2018,gemma_conlin,soundcube,2
time-to-talk-day-2018,poppysmission,PoPpYsMiSsiOn,2
rare-disease-day-2018,avarenity,kdc,2
stress-awareness-day,smgellie,YoungMindsUK,2
ocd-awareness-week-2018,witchdaggahh,lwbean,2
elf-day,_globalbeauty,sophiemk_escort,2
brain-injury-week-2018,mikekemplaw,CKellyLaw,2
dry-january-2018,ciarangearoid,TullamoreRFC,1
no-smoking-day-2018,turningpointuk,DAWS_London,2
rare-disease-day-2018,lasehrman,RareDiseases,2
dry-january-2018,alanyoungman2,31DOVER,2
wear-purple-for-jia-2018,topmarknorwich,JIA_NRAS,1
brain-awareness-week-2018,rncat50,FBI,1
mnd-awareness-month-2018,bombshells202a,chelseadee6,1
brain-awareness-week-2018,neuro_lover,neuroscience,2
ovarian-cancer-awareness-month-2018,sabinejessen,OvarianCanada,2
time-to-talk-day-2018,pitcher_lise,lisahil17801874,2
no-smoking-day-2018,ljw30,UNISON_HS,4
mental-health-awareness-week-2018,bbiss666,Unchargeables,2
time-to-talk-day-2018,npjarrowhebburn,TimetoChange,1
no-smoking-day-2018,brandonvape,SenBillNelson,1
wear-purple-for-jia-2018,greekalphabet,Ed_Miliband,2
mental-health-awareness-week-2018,bartandrews,BartAndrews,1
national-dementia-carers-2018,gracecordovano,CareQualityComm,2
carers-week-2018,theresaleavy,sinnfeinireland,1
epilepsy-awareness-purple-day-2018,barret_sux,FiedlerKendall,2
mnd-awareness-month-2018,joshprotweets,Vicky_100K4MNDA,2
16-days-of-action-2018,novakchristoph,SBeattieSmith,2
jeans-for-genes-day,areli_cisnerosh,MrsAnneTwist,2
experience-of-care-week-2018,nobismhealth,UpperChesapeake,2
stress-awareness-day,therealmisskj,JacksonLeesLaw,2
ovarian-cancer-awareness-month-2018,clearyjenny5,NHSEngland,2
national-dyslexia-week-2018,girlnamedsusan,Wordsharkv5,2
jeans-for-genes-day,joannedavison54,JeansforGenes,1
epilepsy-awareness-purple-day-2018,kathysedon,cavs,2
brain-awareness-week-2018,dana_fdn,sitnahs,2
brain-injury-week-2018,abialliance,NeuroConvention,1
time-to-talk-day-2018,jrad1014hi,The_UnSilent_,2
time-to-talk-day-2018,sterlingjoy94,HelpFaithHeal,2
brain-injury-week-2018,karen_cundy,RhonddaBryant,2
time-to-talk-day-2018,raceafsp,Womensrunninguk,2
dry-january-2018,juju_carbo,DrinkTg,4
jeans-for-genes-day,exttupido,JeansforGenes,1
wear-purple-for-jia-2018,nitawhite1,Ed_Miliband,2
ovarian-cancer-awareness-month-2018,verucor,srocf,1
national-dyslexia-week-2018,unshakeablesnow,soundcube,2
rare-disease-day-2018,susanweiland7,bagit4u,2
national-dementia-carers-2018,_michaelcrawley,DFHorsforth,2
dry-january-2018,bushrangersbar,winewankers,2
brain-injury-week-2018,abialliance,ozcboss,1
mens-health-week-2018,indienoises,PalestDame,2
epilepsy-awareness-purple-day-2018,nemusan39,JennieJacques1,1
mental-health-awareness-week-2018,yaramaliks,Reverend_Custer,1
ocd-awareness-week-2018,marcubey,lwbean,2
dementia-action-week-2018,audreybowenprof,VerityLongley,6
mnd-awareness-month-2018,plymcruise,chelseadee6,1
elf-day,mintyminns,NHSLKnowledge,2
nutrition-and-hydration-week-2018,earleytracy,Laurenpfister6,1
16-days-of-action-2018,sarah_pndj,TaranaBurke,1
ovarian-cancer-awareness-month-2018,dianefuller001,NHSEngland,2
dementia-action-week-2018,gaynor_allen,CWAMusselburgh,2
eating-disorder-awareness-week-2018,commcarewhct,CAMHS_CEDSworcs,2
rare-disease-day-2018,michael_minney,Celgene,2
national-dementia-carers-2018,hollybunty,CareQualityComm,2
elf-day,komalmakwana105,nickjonas,1
stress-awareness-day,cathy_walsh123,MindCharity,2
nutrition-and-hydration-week-2018,mynameisandyj,lymington,1
nutrition-and-hydration-week-2018,tillyboss,LancsHospitals,1
mens-health-week-2018,ceciliaegan1,mhall55nine,2
time-to-talk-day-2018,maureen12485368,2020Comms,2
national-dementia-carers-2018,angela_monaghan,alzheimerssoc,2
eating-disorder-awareness-week-2018,cl2n2,EmiForLove,3
dementia-action-week-2018,otbcnmtd,CastleMall,6
rare-disease-day-2018,alanschenkel,RareDiseases,2
brain-injury-week-2018,nraynsford,HeadwayLincs,1
ovarian-cancer-awareness-month-2018,skynewseditor,FelicityBarrTV,2
carers-week-2018,carersmatternfk,HuffPostUK,1
mental-health-awareness-week-2018,burpbbpy,depressionarmy,2
elf-day,jodieh1131,thesovrangroup,2
dementia-action-week-2018,facefrontuk,Arts4Dementia,1
wear-purple-for-jia-2018,jenniej95408140,Fram_NFurneaux,1
dementia-action-week-2018,nhsleicester,west_lei_ccg,3
nutrition-and-hydration-week-2018,lthtdietetics,LeedsChildren,2
wear-purple-for-jia-2018,taxbuzzuk,kccakes_KPegg,2
brain-awareness-week-2018,neuro_lover,TEDTalks,1
dry-january-2018,cakereev,31DOVER,2
nutrition-and-hydration-week-2018,mynameisandyj,glenysmou,1
jeans-for-genes-day,emspicks,priors_field,2
stress-awareness-day,joe__af,Jemma_Barratt,2
ocd-awareness-week-2018,mangodrips,lwbean,2
brain-injury-week-2018,headwayuk,SimplyKnitMag,1
wear-purple-for-jia-2018,its_me_sarah_s,Ed_Miliband,2
rare-disease-day-2018,alexandrou56,gracescience,1
brain-awareness-week-2018,bkindngood,FDATobacco,1
16-days-of-action-2018,ginadaviesp51,CountDeadWomen,1
brain-awareness-week-2018,joeb202,FBI,1
dementia-action-week-2018,cnchinkleypoint,edfenergy,1
experience-of-care-week-2018,michaelsprouse,VirginiaMason,2
wear-purple-for-jia-2018,clare_nras,JIA_NRAS,2
mental-health-awareness-week-2018,1of2vics,1of2vics,1
epilepsy-awareness-purple-day-2018,ghostlyecto,BudsiesToys,2
elf-day,jessthompkemp,barryoor,1
16-days-of-action-2018,greenfinchmrs,DogsTrust,2
brain-injury-week-2018,headwaydevon,HeadwayUK,1
brain-awareness-week-2018,simone_carneiro,RoehamptonUni,1
elf-day,brigsteer12,Flaketweet,2
ocd-awareness-week-2018,wubling_k,lwbean,2
elf-day,sandyhcisd,JulieMarieG06,2
jeans-for-genes-day,joannedavison54,MrsAnneTwist,2
brain-injury-week-2018,henry_woodcock,HeadwayDton,1
national-dyslexia-week-2018,faratmani69,soundcube,2
ocd-awareness-week-2018,lalorie_,lwbean,2
mental-health-awareness-week-2018,0bserver_,BegumNadiya,1
elf-day,gr3burz,thesovrangroup,2
brain-injury-week-2018,lblawcop,HeadwayESussex,1
dementia-action-week-2018,mradamb,friendofgran,2
experience-of-care-week-2018,terrisonger,AcsArchildrens,3
stress-awareness-day,urban_creations,PerennialGRBS,2
16-days-of-action-2018,slimqini,NthabeyK,2
national-dementia-carers-2018,croftster,DementiaUK,2
brain-injury-week-2018,kateobrien_bbk,laura_barls,1
jeans-for-genes-day,zjmxangl,MrsAnneTwist,2
16-days-of-action-2018,cathyholtmann,SayNO_UNiTE,2
national-dyslexia-week-2018,nickyj123,Wordsharkv5,2
mens-health-week-2018,gracelynnkung,BBCWales,2
jeans-for-genes-day,toughieboi,JeansforGenes,1
dry-january-2018,lauramoowho,HuffPostUK,1
rare-disease-day-2018,clare__turnbull,ICR_London,2
jeans-for-genes-day,celerystickkk,JeansforGenes,1
no-smoking-day-2018,warringtonworld,YourLiveWire,2
mens-health-week-2018,johudso70108834,alcoholconcern,1
mental-health-awareness-week-2018,,o_Ovonvon,6
elf-day,absummuggle,PCsDRAG0N,2
brain-awareness-week-2018,oficialcucs,OficialCUCS,1
dry-january-2018,stormtiger5,SeedlipDrinks,1
cervical-cancer-prevention-week-2018,presentoccupant,NHS_HS,1
16-days-of-action-2018,sdmulherrn,ONUMulheresBR,2
time-to-talk-day-2018,theforgehead,BACP,4
elf-day,georginashiers,SelkirkHouse,2
experience-of-care-week-2018,herrings18,christinpenhale,1
ovarian-cancer-awareness-month-2018,johnsocial6,NHSEngland,2
ocd-awareness-week-2018,mfilippoufrye,RodriguezLabSU,2
dry-january-2018,marycakes23,SeedlipDrinks,1
dry-january-2018,chestertweetsuk,urbano32chester,1
ovarian-cancer-awareness-month-2018,jilltan,OCRFA,1
brain-injury-week-2018,germantwitchrt,conni_kiss,2
elf-day,pegasusgroup,alzheimerssoc,1
time-to-talk-day-2018,terryelaineh1,2020Comms,2
elf-day,,YMT_Chris,6
dry-january-2018,kategarraway_uk,kategarraway,2
ocd-awareness-week-2018,alhernandezart,lwbean,2
16-days-of-action-2018,chikukwaj,UN_Women,1
dry-january-2018,,BarnsleyHospice,1
mental-health-awareness-week-2018,coolmentoring,ThisIsMyBrave,1
experience-of-care-week-2018,nurselillian,VCHResearch,2
mnd-awareness-month-2018,,RunMND,4
elf-day,nhshullccg,michaelfoers,2
carers-week-2018,johnwalsh88,trevorclower,1
elf-day,cloudleggs,alzheimerssoc,1
brain-awareness-week-2018,thehitman29,BretHart,1
national-dementia-carers-2018,nickisparling1,CareQualityComm,2
16-days-of-action-2018,earlgrey39_lisa,rapecrisisscot,2
carers-week-2018,huw4ogmore,wgmin_csc,1
mnd-awareness-month-2018,martials_art,MNDAEastSussex,4
brain-injury-week-2018,cumbrianeuro,HeadwaySCumbria,1
ocd-awareness-week-2018,denverinfocus,namiralph,1
cervical-cancer-prevention-week-2018,usfhealth,USFCOP,1
wear-purple-for-jia-2018,ginn2thee,JIA_NRAS,2
dementia-action-week-2018,angela_nshg,NorthStarHG,2
dementia-action-week-2018,jr_merseycare,sarahbutchard,2
elf-day,priyankaaddicts,priyankachopra,1
ocd-awareness-week-2018,vulpix,lwbean,2
eating-disorder-awareness-week-2018,susanbrodie_221,therecoverygap,2
experience-of-care-week-2018,punc14julie,clairejukesy,1
rare-disease-day-2018,deedecrist,TakedaOncology,2
nutrition-and-hydration-week-2018,mynameisandyj,Nutnurse97,1
time-to-talk-day-2018,wokingrt,allabouttri,2
epilepsy-awareness-purple-day-2018,borstkenna,BrainandLifeMag,2
experience-of-care-week-2018,msjuliedavey,LeanneWells63,2
national-dementia-carers-2018,karenla46426669,CareQualityComm,2
elf-day,_globalbeauty,Aim2PleaseYou,1
brain-awareness-week-2018,martysalo,LundbeckUS,2
cervical-cancer-prevention-week-2018,lopezgovlaw,sloan_kettering,2
elf-day,dorset_hour,ColesMillerLLP,2
16-days-of-action-2018,habiboud,UNFPASierraleon,2
elf-day,yugal_love,PCsDRAG0N,2
ovarian-cancer-awareness-month-2018,profdavidwilson,FelicityBarrTV,2
rare-disease-day-2018,__wrench__,bstevenswriter,1
brain-injury-week-2018,rachjm3,DannielleL90,2
cervical-cancer-prevention-week-2018,pattilestrange1,ACS_California,2
mnd-awareness-month-2018,sharontiday,chelseadee6,1
brain-awareness-week-2018,luciahipolito2,dana_fdn,1
jeans-for-genes-day,almightyover25s,MrsAnneTwist,2
ocd-awareness-week-2018,weirdaholic,lwbean,2
cervical-cancer-prevention-week-2018,deecalhounsmhn,CDC_Cancer,2
dementia-action-week-2018,sphenefan,skwawkbox,1
elf-day,alzsocseengland,MountLodge,1
16-days-of-action-2018,balwantsbisht1,phumzileunwomen,2
national-dyslexia-week-2018,tjamesness,SchoolsWeek,1
experience-of-care-week-2018,figueroawu_ff,UIHealth,1
rare-disease-day-2018,atthebeach93,RVAwonk,2
experience-of-care-week-2018,jocelyncornwell,clairejukesey,1
eating-disorder-awareness-week-2018,hskyouth,beatED,1
cervical-cancer-prevention-week-2018,addiem24,dublinwellwoman,2
time-to-talk-day-2018,naturalorganic6,Mattjohnsons,2
wear-purple-for-jia-2018,misspond,Ed_Miliband,2
eating-disorder-awareness-week-2018,zsnowela,YoungMindsUK,2
mens-health-week-2018,destigmatize_me,mentalhealth,2
national-dementia-carers-2018,mazopal,alzheimerssoc,2
national-dyslexia-week-2018,waterstonescamb,roos_sascha,2
mental-health-awareness-week-2018,eastendersdyer,JessieWfan,2
16-days-of-action-2018,lookbeyondlooks,thewomens,2
cervical-cancer-prevention-week-2018,deannateoh,SGO_org,2
ovarian-cancer-awareness-month-2018,youroldestfan,JNJParents,1
rare-disease-day-2018,yana1954,RVAwonk,2
dementia-action-week-2018,barchester_care,jk_janetkaye,2
national-dementia-carers-2018,laboursatvir,lornafielker,1
carers-week-2018,chitraacharya,JaneDanforth,2
